segundo,calculo,timestamp
0,0,1529402740
1,0,1529402741
2,0,1529402742
3,0,1529402743
4,0,1529402744
5,0,1529402745
6,0,1529402746
7,0,1529402747
8,0,1529402748
9,0,1529402749
10,0,1529402750
11,0,1529402751
12,0,1529402752
13,0,1529402753
14,0,1529402754
15,0,1529402755
16,0,1529402756
17,0,1529402757
18,0,1529402758
19,0,1529402759
20,0,1529402760
21,0,1529402761
22,0,1529402762
23,0,1529402763
24,0,1529402764
25,0,1529402765
26,0,1529402766
27,0,1529402767
28,0,1529402768
29,0,1529402769
30,0,1529402770
31,0,1529402771
32,0,1529402772
33,0,1529402773
34,0,1529402774
35,0,1529402775
36,0,1529402776
37,0,1529402777
38,0,1529402778
39,0,1529402779
40,0,1529402780
41,0,1529402781
42,0,1529402782
43,0,1529402783
44,0,1529402784
45,0,1529402785
46,0,1529402786
47,0,1529402787
48,0,1529402788
49,0,1529402789
50,0,1529402790
51,0,1529402791
52,0,1529402792
53,0,1529402793
54,0,1529402794
55,0,1529402795
56,0,1529402796
57,0,1529402797
58,0,1529402798
59,0,1529402799
60,0,1529402800
61,0,1529402801
62,0,1529402802
63,0,1529402803
64,0,1529402804
65,0,1529402805
66,0,1529402806
67,0,1529402807
68,0,1529402808
69,0,1529402809
70,0,1529402810
71,0,1529402811
72,0,1529402812
73,0,1529402813
74,0,1529402814
75,0,1529402815
76,0,1529402816
77,0,1529402817
78,0,1529402818
79,0,1529402819
80,0,1529402820
81,3,1529402821
82,7,1529402822
83,8,1529402823
84,10,1529402824
85,10,1529402825
86,11,1529402826
87,11,1529402827
88,12,1529402828
89,12,1529402829
90,12,1529402830
91,12,1529402831
92,14,1529402832
93,14,1529402833
94,13,1529402834
95,13,1529402835
96,14,1529402836
97,14,1529402837
98,17,1529402838
99,17,1529402839
100,18,1529402840
101,20,1529402841
102,17,1529402842
103,18,1529402843
104,23,1529402844
105,24,1529402845
106,24,1529402846
107,24,1529402847
108,22,1529402848
109,21,1529402849
110,20,1529402850
111,21,1529402851
112,19,1529402852
113,19,1529402853
114,15,1529402854
115,13,1529402855
116,14,1529402856
