,timestamp,calculo
8,6790,0
17,6799,0
26,6808,0
35,6817,0
44,6826,0
53,6835,0
62,6844,0
71,6853,0
80,6862,0
89,6871,19
98,6880,20
107,6889,18
116,6898,19
125,6907,23
134,6916,27
143,6925,21
152,6934,20
161,6943,23
170,6952,25
179,6961,19
188,6970,17
197,6979,19
206,6988,16
215,6997,20
224,7006,15
233,7015,10
242,7024,14
251,7033,23
260,7042,15
269,7051,19
278,7060,22
287,7069,14
296,7078,17
305,7087,15
314,7096,19
323,7105,20
332,7114,25
341,7123,24
350,7132,16
359,7141,17
368,7150,14
377,7159,18
386,7168,17
395,7177,13
404,7186,15
413,7195,13
422,7204,15
431,7213,21
440,7222,16
449,7231,13
458,7240,17
467,7249,11
476,7258,11
485,7267,10
494,7276,11
503,7285,12
512,7294,11
521,7303,15
530,7312,14
539,7321,5
548,7330,5
557,7339,7
566,7348,11
575,7357,6
584,7366,13
593,7375,8
602,7384,12
611,7393,15
620,7402,11
629,7411,12
638,7420,18
647,7429,14
656,7438,10
665,7447,4
674,7456,6
683,7465,5
692,7474,9
701,7483,10
710,7492,4
719,7501,4
728,7510,4
737,7519,4
746,7528,5
755,7537,9
764,7546,9
773,7555,7
782,7564,7
791,7573,10
800,7582,9
809,7591,9
818,7600,10
827,7609,10
836,7618,10
845,7627,14
854,7636,12
863,7645,12
872,7654,13
881,7663,14
890,7672,15
899,7681,11
908,7690,12
917,7699,11
926,7708,14
935,7717,12
944,7726,12
953,7735,12
962,7744,10
971,7753,9
980,7762,9
989,7771,8
998,7780,8
1007,7789,8
1016,7798,9
1025,7807,8
1034,7816,8
1043,7825,8
1052,7834,8
1061,7843,11
1070,7852,13
1079,7861,12
1088,7870,15
1097,7879,10
1106,7888,11
1115,7897,11
1124,7906,16
1133,7915,12
1142,7924,12
1151,7933,14
1160,7942,9
1169,7951,9
1178,7960,13
1187,7969,8
1196,7978,8
1205,7987,7
1214,7996,11
1223,8005,11
1232,8014,11
1241,8023,7
1250,8032,7
1259,8041,12
1268,8050,12
1277,8059,8
1286,8068,12
1295,8077,8
1304,8086,8
1313,8095,11
1322,8104,7
1331,8113,9
1340,8122,5
1349,8131,9
1358,8140,9
1367,8149,5
1376,8158,10
1385,8167,7
1394,8176,12
1403,8185,9
1412,8194,9
1421,8203,12
1430,8212,12
5,12523,0
14,12532,0
23,12541,0
32,12550,0
41,12559,0
50,12568,0
59,12577,0
68,12586,0
77,12595,0
