@relation coletas

@attribute lotacao numeric
@attribute total_segundos numeric
@attribute temp_aparente numeric
@attribute precipitacao numeric
@attribute class {vazio,normal,lotado,superlotado}

@data
2,38578,29.4,0,normal
3,38579,29.4,0,normal
7,38580,29.4,0,normal
9,38581,29.4,0,normal
12,38582,29.4,0,normal
12,38583,29.4,0,normal
13,38584,29.4,0,normal
15,38585,29.4,0,normal
19,38586,29.4,0,normal
19,38587,29.4,0,normal
18,38588,29.4,0,normal
18,38589,29.4,0,normal
20,38590,29.4,0,normal
18,38591,29.4,0,normal
18,38592,29.4,0,normal
18,38593,29.4,0,normal
20,38594,29.4,0,normal
20,38595,29.4,0,normal
19,38596,29.4,0,normal
19,38597,29.4,0,normal
19,38598,29.4,0,normal
19,38599,29.4,0,normal
19,38600,29.4,0,normal
19,38601,29.4,0,normal
20,38602,29.4,0,normal
19,38603,29.4,0,normal
18,38604,29.4,0,normal
17,38605,29.4,0,normal
17,38606,29.4,0,normal
19,38607,29.4,0,normal
20,38608,29.4,0,normal
20,38609,29.4,0,normal
20,38610,29.4,0,normal
21,38611,29.4,0,normal
19,38612,29.4,0,normal
19,38613,29.4,0,normal
19,38614,29.4,0,normal
19,38615,29.4,0,normal
19,38616,29.4,0,normal
17,38617,29.41,0,normal
18,38618,29.41,0,normal
21,38619,29.41,0,normal
21,38620,29.41,0,normal
23,38621,29.41,0,normal
23,38622,29.41,0,normal
23,38623,29.41,0,normal
29,38624,29.41,0,normal
29,38625,29.41,0,normal
30,38626,29.41,0,normal
30,38627,29.41,0,normal
31,38628,29.41,0,normal
28,38629,29.41,0,normal
28,38630,29.41,0,normal
27,38631,29.41,0,normal
26,38632,29.41,0,normal
26,38633,29.41,0,normal
20,38634,29.41,0,normal
21,38635,29.41,0,normal
21,38636,29.41,0,normal
21,38637,29.41,0,normal
20,38638,29.41,0,normal
20,38639,29.41,0,normal
21,38640,29.41,0,normal
19,38641,29.41,0,normal
20,38642,29.41,0,normal
19,38643,29.41,0,normal
19,38644,29.41,0,normal
19,38645,29.41,0,normal
19,38646,29.41,0,normal
19,38647,29.41,0,normal
19,38648,29.41,0,normal
20,38649,29.41,0,normal
19,38650,29.41,0,normal
22,38651,29.41,0,normal
21,38652,29.41,0,normal
21,38653,29.41,0,normal
20,38654,29.41,0,normal
22,38655,29.41,0,normal
22,38656,29.41,0,normal
23,38657,29.41,0,normal
23,38658,29.41,0,normal
22,38659,29.41,0,normal
23,38660,29.41,0,normal
21,38661,29.41,0,normal
21,38662,29.41,0,normal
21,38663,29.41,0,normal
22,38664,29.41,0,normal
21,38665,29.41,0,normal
26,38666,29.41,0,normal
25,38667,29.41,0,normal
25,38668,29.41,0,normal
28,38669,29.41,0,normal
27,38670,29.41,0,normal
25,38671,29.41,0,normal
25,38672,29.41,0,normal
25,38673,29.41,0,normal
24,38674,29.41,0,normal
23,38675,29.41,0,normal
19,38676,29.41,0,normal
19,38677,29.41,0,normal
19,38678,29.41,0,normal
15,38679,29.41,0,normal
15,38680,29.41,0,normal
17,38681,29.41,0,normal
17,38682,29.41,0,normal
17,38683,29.41,0,normal
17,38684,29.41,0,normal
17,38685,29.41,0,normal
18,38686,29.41,0,normal
19,38687,29.41,0,normal
20,38688,29.41,0,normal
20,38689,29.41,0,normal
20,38690,29.41,0,normal
18,38691,29.41,0,normal
19,38692,29.41,0,normal
19,38693,29.41,0,normal
19,38694,29.41,0,normal
19,38695,29.41,0,normal
18,38696,29.41,0,normal
17,38697,29.41,0,normal
16,38698,29.41,0,normal
15,38699,29.41,0,normal
15,38700,29.41,0,normal
14,38701,29.41,0,normal
13,38702,29.41,0,normal
16,38703,29.41,0,normal
17,38704,29.41,0,normal
19,38705,29.41,0,normal
18,38706,29.41,0,normal
18,38707,29.41,0,normal
17,38708,29.41,0,normal
16,38709,29.41,0,normal
16,38710,29.41,0,normal
20,38711,29.41,0,normal
20,38712,29.41,0,normal
17,38713,29.41,0,normal
16,38714,29.41,0,normal
15,38715,29.41,0,normal
14,38716,29.41,0,normal
14,38717,29.41,0,normal
19,38718,29.41,0,normal
19,38719,29.41,0,normal
19,38720,29.41,0,normal
15,38721,29.41,0,normal
15,38722,29.41,0,normal
15,38723,29.41,0,normal
15,38724,29.41,0,normal
15,38725,29.41,0,normal
